Year_Film,Year_Ceremony,Ceremony,Category,Name,Film,Winner
1934,1935,7,ART DIRECTION,Richard Day,The Affairs of Cellini,NOMINATED
1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,NOMINATED
1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,WINNER
1934,1935,7,ASSISTANT DIRECTOR,Cullen Tate,Cleopatra,NOMINATED
1934,1935,7,ASSISTANT DIRECTOR,Scott Beal,Imitation of Life,NOMINATED
1934,1935,7,ASSISTANT DIRECTOR,John Waters,Viva Villa!,WINNER
1934,1935,7,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,NOMINATED
1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,WINNER
1934,1935,7,CINEMATOGRAPHY,George Folsey,Operator 13,NOMINATED
1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,WINNER
1934,1935,7,DIRECTING,Victor Schertzinger,One Night of Love,NOMINATED
1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,NOMINATED
1934,1935,7,FILM EDITING,Anne Bauchens,Cleopatra,NOMINATED
1934,1935,7,FILM EDITING,Conrad Nervig,Eskimo,WINNER
1934,1935,7,FILM EDITING,Gene Milford,One Night of Love,NOMINATED
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,NOMINATED
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,NOMINATED
1934,1935,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,WINNER
1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,NOMINATED
1934,1935,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,WINNER
1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,WINNER
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,NOMINATED
1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,NOMINATED
1934,1935,7,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,NOMINATED
1934,1935,7,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,NOMINATED
1934,1935,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,WINNER
1934,1935,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,WINNER
